Comment,Label
"SC/ST ne toh hadd hi kar di, ab Brahmin ke mandir bhi todne chale hain 🤬 😡",Hatespeech
Saale chammar ko itna sir pe chadha diya hai ki ab shudra ke saamne bhi bhaukne lage 😤 😡,Hatespeech
"chamar sirf victim card khelte hain, kaam kuch nahi karte 😤 🤣",Hatespeech
"bhangi ne toh hadd hi kar di, ab brahmn ke mandir bhi todne chale hain 🤬 😂",Hatespeech
"Phir se ek Bhangi ne bakwas comment kiya against bhramin log, kitni nafrat bhari hai inmein 😡 👎",Hatespeech
"Har issue mein dalit apna caste ghusa dete hain, bore ho gaye hain log 😤 👎",Hatespeech
"Saale dalit, thoda toh sharam karlo, hamesha rajput ko gaali dete ho 😡 😡",Hatespeech
In chamar ko itna quota mil gaya hai ki ab ye bhramin ke upar hi rule karenge kya 😡 🙄,Hatespeech
"Phir se ek chamar ne bakwas comment kiya against bhramin log, kitni nafrat bhari hai inmein 😡 🤢",Hatespeech
Saale dalit ko itna sir pe chadha diya hai ki ab rajput ke saamne bhi bhaukne lage 😤 😂,Hatespeech
"Har issue mein chammar apna caste ghusa dete hain, bore ho gaye hain log 😤 👎",Hatespeech
"Saale chammar, thoda toh sharam karlo, hamesha bhramin ko gaali dete ho 😡 🤬",Hatespeech
"In chamar ko sirf reservation chahiye, baaki sab bekaar hai unke liye 👎 😂",Hatespeech
"Har issue mein dalit apna caste ghusa dete hain, bore ho gaye hain log 😤 🤢",Hatespeech
"Na kaam ke na kaaj ke, ye chamar sirf brahmmin ko neecha dikhana jaante hain 👎 🤣",Hatespeech
bhangi ne fir se drama start kar diya SC/ST act ke naam pe 🙄 🤬,Hatespeech
dalits ne fir se drama start kar diya SC/ST act ke naam pe 🙄 😂,Hatespeech
"Har issue mein ye log apna caste ghusa dete hain, bore ho gaye hain log 😤 😡",Hatespeech
Ye lower caste log reservation ke bina ek exam bhi pass nahi kar sakte 🤢 👎,Hatespeech
bhangi log ka kaam hi hai chutiyapa karna aur rajput pe ilzaam lagana 🙄 😂,Hatespeech
Saale chamar ko itna sir pe chadha diya hai ki ab bhramin ke saamne bhi bhaukne lage 😤 👎,Hatespeech
"Har issue mein chammar apna caste ghusa dete hain, bore ho gaye hain log 😤 🤣",Hatespeech
"ye log ne toh hadd hi kar di, ab bhramin ke mandir bhi todne chale hain 🤬 🤬",Hatespeech
SC/ST log ka kaam hi hai chutiyapa karna aur upper caste pe ilzaam lagana 🙄 😤,Hatespeech
"Na kaam ke na kaaj ke, ye chamar sirf rajput ko neecha dikhana jaante hain 👎 🙄",Hatespeech
Ye chamar wale toh hamesha se hi Vaishya ke gulam rahe hain 🤢 🤢,Hatespeech
In chamar ko agar itni problem hai rajput se toh chale jaaye yahan se 😂 😡,Hatespeech
In chammar ko agar itni problem hai rajput se toh chale jaaye yahan se 😂 🙄,Hatespeech
Abey Bhangi tu kya samjhta hai apne aap ko? bharaman ke barabar? 🤣 🤬,Hatespeech
"Saale chammaar, thoda toh sharam karlo, hamesha rajput ko gaali dete ho 😡 👎",Hatespeech
Ye chamar wale toh hamesha se hi bhramin ke gulam rahe hain 🤢 👎,Hatespeech
"Phir se ek chamar ne bakwas comment kiya against bhramin log, kitni nafrat bhari hai inmein 😡 😡",Hatespeech
In chamar ko agar itni problem hai pandito se toh chale jaaye yahan se 😂 🤣,Hatespeech
"bhramin se nafrat karte hain ye chamar, phir bhi unki gali mein rehte hain 😂 😡",Hatespeech
SC log ka kaam hi hai chutiyapa karna aur rajput pe ilzaam lagana 🙄 😤,Hatespeech
"Phir se ek chamar ne bakwas comment kiya against bhramin log, kitni nafrat bhari hai inmein 😡 🤬",Hatespeech
Tum chamar log sirf quota ke liye hi to Hindu ban jaate ho 🤦 😡,Hatespeech
"chamar sirf victim card khelte hain, kaam kuch nahi karte 😤 😂",Hatespeech
"pandito se nafrat karte hain ye SC/ST, phir bhi unki gali mein rehte hain 😂 🙄",Hatespeech
In dalitl log ko agar itni problem hai brahminn se toh chale jaaye yahan se 😂 🤣,Hatespeech
"Har jagah chammar walon ka rona-dhona chalu hai, jao na alag desh bana lo 🤬 😂",Hatespeech
"Har issue mein dalit apna caste ghusa dete hain, bore ho gaye hain log 😤 🤬",Hatespeech
"Saale chammaar, thoda toh sharam karlo, hamesha bhramin ko gaali dete ho 😡 😂",Hatespeech
In dalit ko itna quota mil gaya hai ki ab ye rajput ke upar hi rule karenge kya 😡 🤢,Hatespeech
In chamar ko itna quota mil gaya hai ki ab ye rajput ke upar hi rule karenge kya 😡 🤢,Hatespeech
In Bhangi ko itna quota mil gaya hai ki ab ye rajput ke upar hi rule karenge kya 😡 🤣,Hatespeech
"Chammarr ne toh hadd hi kar di, ab rajput ke mandir bhi todne chale hain 🤬 👎",Hatespeech
SC log ka kaam hi hai chutiyapa karna aur rajputooo pe ilzaam lagana 🙄 🤣,Hatespeech
"Saale SC/ST, thoda toh sharam karlo, hamesha bhramin ko gaali dete ho 😡 🤣",Hatespeech
In chamar ko itna quota mil gaya hai ki ab ye brahmin log ke upar hi rule karenge kya 😡 🙄,Hatespeech
chamar log ka kaam hi hai chutiyapa karna aur bhramin pe ilzaam lagana 🙄 🤣,Hatespeech
Ye sc/st log reservation ke bina ek exam bhi pass nahi kar sakte 🤢 👎,Hatespeech
"chammar sirf victim card khelte hain, kaam kuch nahi karte 😤 🙄",Hatespeech
"Na kaam ke na kaaj ke, ye chamar sirf bhramin ko neecha dikhana jaante hain 👎 🙄",Hatespeech
Tum chammaar log sirf quota ke liye hi to Hindu ban jaate ho 🤦 🤬,Hatespeech
chamar ne fir se drama start kar diya SC/ST act ke naam pe 🙄 😡,Hatespeech
Saale chammar ko itna sir pe chadha diya hai ki ab brahminn ke saamne bhi bhaukne lage 😤 👎,Hatespeech
"Har jagah sc/st walon ka rona-dhona chalu hai, jao na alag desh bana lo 🤬 😂",Hatespeech
"Har jagah neech jaati walon ka rona-dhona chalu hai, jao na alag desh bana lo 🤬 🤢",Hatespeech
"Har jagah dalit walon ka rona-dhona chalu hai, jao na alag desh bana lo 🤬 🤬",Hatespeech
Facebook aur Twitter pe sc/st sirf brahman ke khilaf jahar ugalte hain 🤢 👎,Hatespeech
Tum neech jaati log sirf quota ke liye hi to Hindu ban jaate ho 🤦 😡,Hatespeech
In chammaar ko agar itni problem hai bhramin se toh chale jaaye yahan se 😂 😡,Hatespeech
chammar log ka kaam hi hai chutiyapa karna aur rajput pe ilzaam lagana 🙄 👎,Hatespeech
Ye SC/ST log reservation ke bina ek exam bhi pass nahi kar sakte 🤢 🤢,Hatespeech
"Jab dekho chamar victim ban jaate hain, kaise tolerate karein inko 🤷 😤",Hatespeech
Tum dalit log sirf quota ke liye hi to Hindu ban jaate ho 🤦 🤬,Hatespeech
"neech jaati ne toh hadd hi kar di, ab rajput ke mandir bhi todne chale hain 🤬 😡",Hatespeech
"dhobi sirf victim card khelte hain, kaam kuch nahi karte 😤 👎",Hatespeech
"chamar sirf victim card khelte hain, kaam kuch nahi karte 😤 😂",Hatespeech
chamar log ka kaam hi hai chutiyapa karna aur bhramin pe ilzaam lagana 🙄 😡,Hatespeech
In dalitto ko agar itni problem hai rajput se toh chale jaaye yahan se 😂 🙄,Hatespeech
"Jab dekho lower caste victim ban jaate hain, kaise tolerate karein inko 🤷 😡",Hatespeech
In neech jaati ko agar itni problem hai rajput se toh chale jaaye yahan se 😂 🤬,Hatespeech
Ye chamar log reservation ke bina ek exam bhi pass nahi kar sakte 🤢 😤,Hatespeech
"Jab dekho chamar victim ban jaate hain, kaise tolerate karein inko 🤷 😡",Hatespeech
"Phir se ek lower caste ne bakwas comment kiya against bhramin log, kitni nafrat bhari hai inmein 😡 😡",Hatespeech
"chamar sirf victim card khelte hain, kaam kuch nahi karte 😤 🤢",Hatespeech
"Jab dekho dalit victim ban jaate hain, kaise tolerate karein inko 🤷 😂",Hatespeech
"chammar sirf victim card khelte hain, kaam kuch nahi karte 😤 🤢",Hatespeech
"rajput se nafrat karte hain ye lower caste, phir bhi unki gali mein rehte hain 😂 😂",Hatespeech
"In SC ko sirf reservation chahiye, baaki sab bekaar hai unke liye 👎 😡",Hatespeech
"In chamar ko sirf reservation chahiye, baaki sab bekaar hai unke liye 👎 🤬",Hatespeech
Facebook aur Twitter pe chamar sirf rajput ke khilaf jahar ugalte hain 🤢 🤬,Hatespeech
In chamar ko agar itni problem hai rajput se toh chale jaaye yahan se 😂 🤬,Hatespeech
"brahman se nafrat karte hain ye chamar, phir bhi unki gali mein rehte hain 😂 🙄",Hatespeech
"In chammar ko sirf reservation chahiye, baaki sab bekaar hai unke liye 👎 🤣",Hatespeech
In SC/ST ko itna quota mil gaya hai ki ab ye bhramin ke upar hi rule karenge kya 😡 😂,Hatespeech
In sc/st ko itna quota mil gaya hai ki ab ye bhramin ke upar hi rule karenge kya 😡 😂,Hatespeech
Ye dalitoo wale toh hamesha se hi bhramin ke gulam rahe hain 🤢 😂,Hatespeech
Tum dalit log sirf quota ke liye hi to Hindu ban jaate ho 🤦 😂,Hatespeech
"rajput se nafrat karte hain ye chamar, phir bhi unki gali mein rehte hain 😂 🤬",Hatespeech
"Har jagah dhobi walon ka rona-dhona chalu hai, jao na alag desh bana lo 🤬 🤬",Hatespeech
"bhramin se nafrat karte hain ye dalit, phir bhi unki gali mein rehte hain 😂 😡",Hatespeech
chamar ne fir se drama start kar diya SC/ST act ke naam pe 🙄 😂,Hatespeech
"Saale chammar, thoda toh sharam karlo, hamesha bhramin ko gaali dete ho 😡 😤",Hatespeech
Ye Bhangi wale toh hamesha se hi bhramin ke gulam rahe hain 🤢 🤣,Hatespeech
"Har jagah pasi walon ka rona-dhona chalu hai, jao na alag desh bana lo 🤬 🤢",Hatespeech
"In chammaro ko sirf reservation chahiye, baaki sab bekaar hai unke liye 👎 😤",Hatespeech
Ye SC/ST log reservation ke bina ek exam bhi pass nahi kar sakte 🤢 🤣,Hatespeech
