Comment,Annotation
"Abe chamar log, tumhari aukaat kya hai humko judge karne ki? 😠😡",Hatespeech
"In bhangi logo ko toh bas reservation chahiye, mehnat toh inki bas ki baat nahi hai. 🙄🤬",Hatespeech
"Upper caste walon ne toh hamesha hum dalit logon ko kuchla hai, ab toh hadd ho gayi! 😠🤬",Hatespeech
"Abe, ye chamar log toh bas reservation ka fayda uthate hain. 😠 Koi kaam toh dhang se karte nahi.",Hatespeech
In bhangi logon ko toh bas ganda kaam karna aata hai. 🤮 Kya zamaana aa gaya hai!,Hatespeech
"Oh bhai, dusadh log toh hamesha ladai jhagda karte rehte hain. 🤬 Koi shanti se rehne nahi deta!",Hatespeech
"In 😠, yeh Chamar log bas reservation ke naam pe desh ko barbaad kar rahe hain! 😡",Hatespeech
Kya faayda in Bhangi logon ko education deke? Inka toh dimaag hi kharaab hai. 🤮,Hatespeech
"Dekhlo bhai, Brahmin hone ka ghamand hai inko, par asliyat mein toh yeh sab hypocrite hain. 😒",Hatespeech
"Abe chamar, tum logo ko toh bas reservation chahiye, kuch aata jata toh hai nahi. 😡",Hatespeech
In bhangi logon ko toh bas gandagi karne aati hai. Koi kaam dhanda nahi hai. 😠,Hatespeech
Saare brahmin bade hi manipulative hote hain. Chup chap sabka fayda uthate hain. 😠,Hatespeech
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhandha toh aata nahi hai. 😡",Hatespeech
"Kya bhangi log hai yaar, hamesha gandagi failate rehte hain. 🤮🤮",Hatespeech
"Dekho, yeh dusadh aaj kal bade ambitious ban rahe hain, par apni aukat toh yaad rakho! 😠",Hatespeech
"In chamar people ko toh koi izzat hi nahi deni chahiye, they are just so low-class! 😠",Hatespeech
"Yeh bhangi log hamesha reservation ki baat karte hain, khud kuch karte toh hai nahi! 😡",Hatespeech
"Upper caste wale toh dalit ko hamesha neecha dikhate hain, yeh toh common hai yaar! 😤",Hatespeech
"Abe chamar, tum log toh bas reservation ka faida uthate ho. 😡",Hatespeech
"In bhangi logon ko koi izzat nahi deta, aur ye log humesha gareeb hi rahenge. 😠",Hatespeech
"Dekh, dom kabhi sudhar nahi sakte. Ye toh sirf gandagi failate hain. 🤮",Hatespeech
"In 😞 chamar log ko koi izzat nahi deni chahiye, yeh toh bas gandi baat karte hain. 😡",Hatespeech
Yeh bhangi kabhi sudhar nahi sakte. Inki soch hi neechi hai. 😠 Yeh toh bas gandagi failate hain.,Hatespeech
"Dekh bhai, yeh dalit log toh sirf reservations ka fayda uthate hain. 😤 Inhe toh kuch aata jaata bhi",Hatespeech
"Arre bc, yeh chamar log na, inki toh soch hi neeche hai. 😠 Always trying to act like they're equal!😡",Hatespeech
"In baniya ki toh dukaan hi band kar deni chahiye. 😡Saale, bas paisa kamane mein lage rehte hain, aur humko neecha dikhate hain!🤬",Hatespeech
Yeh chamar log toh bas reservation ka fayda uthate hain! 😡 They are so lazy and entitled.,Hatespeech
"Bhangi aurat ki aulad, tumhari aukat kya hai humare saamne? Go back to your villages! 😠",Hatespeech
In dalit logon ko koi izzat nahi deni chahiye. They are always complaining! 😤 Yeh toh bas gareebi ka rona rote hain!,Hatespeech
"Yeh chamar log, bas reservation ka fayda uthate hain. Koi kaam toh karte nahi. 😠",Hatespeech
In bhangi logon ko toh saaf safai ka bhi sense nahi hai. Ghhatiya life jeete hain. 🤮,Hatespeech
"Upper caste walon ki toh life set hai, aur yeh dalit log hamesha piche hi reh jaate hain. Kya inequality hai yaar! 😡",Hatespeech
"Abe, yeh chamar log bas reservation ke naam pe aate hai. Koi kaam dhanda toh hai nahi. 😠",Hatespeech
Kya hai yeh bhangi log? Inka toh bas gandagi karna kaam hai. 🤮 Sabko saaf karne aate hai. 😡,Hatespeech
In dhobi logon ko toh bas kapde dhone aate hai. Aur koi aukat nahi hai. 😂 Khud,Hatespeech
"Abe chamar, tumlog toh sirf jhaadu lagane ke liye bane ho! 🧹🤮",Hatespeech
"In bhangi logon ko koi izzat nahi deta, aur yeh log humare upar hi chadhte hain. 😡",Hatespeech
Dalit aur dom log kabhi sudhar nahi sakte. Inki soch hi gandi hai. 🤢,Hatespeech
"In 😡 madarchod chamar ko koi samajh nahi aati, kitna bhi bol lo!",Hatespeech
"Yeh bhangi log toh bas reservation ke naam pe aish karte hain, nothing else. 😠",Hatespeech
"Abe dom tumlogon ko toh sirf gandagi karna aata hai, aur kuch nahi. 😤",Hatespeech
"In chamar logo ko koi respect nahi deta, kyunki inki aukat hi nahi hai. 😂",Hatespeech
"Yeh bhangi log hamesha reservation ki baat karte hain, kuch kaam toh karte nahi. 😡",Hatespeech
"Upper caste walon ne dalit logon ko hamesha neecha dikhaya hai, ab toh badla lena banta hai. 💪",Hatespeech
"Abe chamar log, tum logon ko toh bas reservation chahiye, aur kuch nahi 😡",Hatespeech
"In bhangi logon ko toh bas gandagi karni aati hai, aur kuch nahi. Desh ko barbaad kar rahe hain yeh log. 😠",Hatespeech
Dhobi kabhi sudhar nahi sakte. Inki toh gandi soch hoti hai hamesha. 🤮,Hatespeech
Yeh chamar log toh bas reservation ka faida uthate hain. Koi kaam dhanda toh hai nahi. 😡,Hatespeech
"Abe bhangi, tum log ki toh aukat hi nahi hai hum thakurs ke saath baithne ki. Jaao, apna kaam karo. 😠",Hatespeech
Dalit aurat ho toh kya kuch bhi karegi? Nobody cares about you. 🙄,Hatespeech
"Abe, yeh chamar log toh bas reservation ke naam pe aish karte hain. Koi kaam toh karte nahi 😠",Hatespeech
In bhangi logon ko toh desh se bahar nikaal dena chahiye. Inke wajah se toh development ruk gaya hai.😡,Hatespeech
Yeh dom caste wale toh hamesha gandi harkatein karte hain. Koi respect nahi hai inki society mein. 🤮,Hatespeech
"Abe, ye chamar log kabhi sudhrenge nahi yaar! Inki toh aadat hai gaali dene ki. 😡",Hatespeech
Upper caste walon ki toh gaand phat jati hai bhangi word sunke. 😂 Hypocrites!,Hatespeech
Reservation leke bhi dom log kuch nahi kar paye. Desh ka satyanash kar diya hai. 😠,Hatespeech
"In Bhangi logo ko toh bas gaali dene ka mann karta hai, bc! 😡",Hatespeech
Yeh Chamar kabhi sudhrenge nahi. Always playing the victim card. 🙄,Hatespeech
"Dekho, ye Dhobi log, inki toh aukaat hi nahi hai humare saath khade hone ki. 😂",Hatespeech
"In 🤬 chamar logon ko koi izzat nahi deni chahiye, yeh toh deserve hi nahi karte. 😡",Hatespeech
"Are you a brahmin? OMG, you think you're better than everyone else, huh? Tu apne aap ko kya samajhta hai, huh? 🙄",Hatespeech
"Dekho, yeh dalit log, unke paas toh bas reservation hai, aur kuch nahi. They just",Hatespeech
"In besharmo ko koi kaam dhandha nahi hai, bas chamar hone ka rona dhona karte hain! 😠",Hatespeech
"Yeh bhangi log, inki toh aukat hi nahi hai humare saath khade hone ki. Khud ko bada samajhte hain! 😤",Hatespeech
Kya dalit aaj bhi reservation ke liye rote hain? Koi izzat nahi hai inki apni. 🙄,Hatespeech
"In chamar logon ko koi izzat nahi deni chahiye, sala har jagah reservation maangte hain. 😠",Hatespeech
"Yeh bhangi log bas gandagi failate hain, inki wajah se desh barbaad ho raha hai. 🤮",Hatespeech
"Upper caste waale toh bas dalit logon ko neecha dikhane mein lage rehte hain, khud kuch karte nahi. 😡",Hatespeech
"In 🤮 🤮 🤮 , they are so backward yaar, unko toh koi respect hi nahi deni chahiye. They should just stay in their villages! ",Hatespeech
"These 😡😡😡 are so low-class. They'll never understand how we live. Just stay away from me, you 😠",Hatespeech
"Dekh bhai, reservation toh in 🤬🤬🤬 ko mil gaya, par inki aukat toh wahi hai.",Hatespeech
"Abe chamar , tumhari aukat kya hai hamare saamne? Tum toh bas gaav mein gandagi karte ho! 😡",Hatespeech
In bhangi logon ko koi izzat nahi deni chahiye. Sabko pata hai ye kitne ghatiya hote hain. 😠,Hatespeech
"Kya brahmin bhi koi insaan hai? Matlab, bas apne aapko superior samajhte hain aur dusron ko",Hatespeech
"In chamar logon ki toh aukat hi nahi hai, bas reservation ke dum pe uchal-kood karte hain. 😠",Hatespeech
"Yeh bhangi log toh bas safai karney ke liye bane hain, inka aur koi kaam nahi hai. 🤮",Hatespeech
"Dekha, dalit kabhi sudhar nahi sakte, unki soch toh wohi purani hi hai, gaav ki gandagi.",Hatespeech
"Abe chamar log, tumhari aukat kya hai? 😠 Tumhe toh bas gaali dene ka shauk hai, sala!",Hatespeech
"In bhangi logo ko toh reservation bhi mil gaya, phir bhi rote rehte hain! 😡 Kuch kaam dhanda toh hai nahi.",Hatespeech
"Dekho, ye dom log, kitne ghatiya hote hain. 🤮 Har jagah gandagi failate hain",Hatespeech
"In bhangi logon ko koi izzat nahi deni chahiye, they are just meant to clean our toilets! 😠",Hatespeech
"Yeh chamar kabhi sudhar nahi sakte, hamesha reservation ki bheek mangte rahenge! 😡 Koi self-respect nahi hai.",Hatespeech
"Abe dhed , tumhari aukat kya hai? Hum brahmin toh tumhare upar hi raaj karenge.",Hatespeech
"Abe chamar log, tumhari aukat kya hai? 😠 Tum toh sirf gaadi saaf karne ke liye bane ho!",Hatespeech
In bhangi logon ko toh bas gandagi hi pasand hai. 🤮 Inka toh koi future hi nahi hai. #casteism #shame,Hatespeech
Yeh dom kabhi sudhrenge nahi. 😡 Inki toh soch hi ghatiya hai. They are,Hatespeech
"In chmara ko toh bas reservation chahiye, koi kaam dhanda nahi karna 😡!",Hatespeech
"Yeh bhangi log, kitne gande hote hai yaar, cleanliness ka toh koi concept hi nahi hai 🤮",Hatespeech
"Upper caste wale toh bas brahmin ko hi vote denge, hum toh untouchable hai unke liye 😒",Hatespeech
"Abe chamar log, tumhari aukaat kya hai? Tum toh sirf gaay ka gobar uthate ho! 😡🤮",Hatespeech
In bhangi logon ko toh desh se nikal dena chahiye. Saare reservation ka fayda lete hai aur kaam kuch nahi karte. 😠🤬,Hatespeech
Yeh dom log toh sirf gandagi failate hain. Koi respect nahi hai inki. 😒😤,Hatespeech
In 😠😡 bhangi logon ko toh bas ganda kaam karna hai. They are good for nothing. 🤮,Hatespeech
"Yeh chamar log kabhi nahi sudhrenge. Inki aukat toh wahi hai, getting reservations and all. 🤬",Hatespeech
Upper caste waale toh bas baniya aur brahmin ko support karte hain. Baaki sab toh inke liye kuch bhi nahi. 😒,Hatespeech
Kya chamar log kabhi sudhrenge? Inki toh aadat hi gandi hai. 🤮,Hatespeech
Reservation lene ke baad bhi Bhangi log itna kyun rote hain? Koi kaam-dhanda toh hai nahi inke paas. 😒,Hatespeech
Dekha hai kabhi Brahmin ladkiyon ko kisi Dalit ke saath date pe jaate hue? Impossible! 🙄,Hatespeech
"Yeh chamar log, inko toh bas reservation chahiye. Kuch kaam dhanda toh karte nahi hai.😡",Hatespeech
