Comment,Label
"Ye chamar log kabhi sudhrenge nahi, har jagah reservation ka randi rona karte hai 🤮",Hatespeech
"Saale bhangi ko dekh kaise apni aukat bhool gaya, abhi thakur bhaiya se pitwayega 😡",Hatespeech
"SC/ST walo ko alag se gutter mein rehna chahiye, ye log civilized society ke liye nahi bane 🤬",Hatespeech
"Lol in dalito ko dekh, jhooti degree lekar IAS banna chahte hai 😂😂",Hatespeech
Saala chamar hoke Thakur ki beti ko dekh raha hai? Aukat mein reh! 💢,Hatespeech
"Ye log (SC/ST) sirf berozgar hote hai, inko naukri dena waste hai �",Hatespeech
"Bhangi community ke log hamesha gande kaam karte hai, inko touch mat karo 🤢",Hatespeech
"Saale ek to ye dhobi log humse jhoot bolte hai, phir reservation maangte hai 😤",Hatespeech
"Oye chamar, tera baap bhi toh hamare yahan safai karta tha, aaj kal attitude dikha raha hai? 😏",Hatespeech
"SC/ST ko education dena paap hai, ye log padh-likh ke bhi gawar hi rehte hai 🤦‍♂️",Hatespeech
"Reservation leke bhi inke bacche fail hi hote hai, genetic weakness hai inka 🧬",Hatespeech
"Chamar jaiso ko gaon ke bahar rehna chahiye, hum jaise upper caste log inki gandi soch se safe rahenge 🏡",Hatespeech
"Ye SC/ST log bas jhut bolte hai, inpe bharosa karna bewakoofi hai 🤥",Hatespeech
"Bhangi ki aulaad ko dekh, hamare temple mein ghusne ki himmat kaise hui? 🛑",Hatespeech
"Saale dalit hoke BMW chala raha hai, paisa kahaan se aaya? Chor hai pakka 🚔",Hatespeech
"Oye dhobi ke bacche, tumhari community ne 100 saal pehle hamare kapre dhoye the, aaj kya ukhaad loge? 👕",Hatespeech
"SC/ST ko vote dene wale bhi chutiye hai, ye log desh ko barbaad kar denge 🗳️",Hatespeech
"Chamar log sirf drama karte hai, asli mehnat karna inke bas ki baat nahi 🎭",Hatespeech
"Bhangi ki beti ko dekh, school jaati hai...padh likh ke bhi kachra hi uthaegi 🗑️",Hatespeech
"Saale SC/ST logon ko government itna paisa deti hai, phir bhi ye berozgar hi rehte hai 💸",Hatespeech
"Ye log (dalits) sirf apni victim card khelte hai, kabhi real competition mein utarne ki himmat nahi 🃏",Hatespeech
Chamar hoke surname 'Singh' laga rakha hai...lol kitna desperate hai yaar 😆,Hatespeech
"Bhangi logon se dur raho, inki gandi soch tumhe bhi neecha dikha degi ⚠️",Hatespeech
"SC/ST reservation is a scam, ye log bas free mein sab khaana chahte hai 🍽️",Hatespeech
"Oye chamar, teri shaadi mein hum jaise logon ko bulaya bhi nahi jaata, phir hamari caste kaise criticize karta hai? 💔",Hatespeech
"Ye dalit log bas dusro ka haq chheen te hai, inki aukat gutter saaf karne ki hai 🚮",Hatespeech
Saale bhangi hoke gym jaate ho? Kya ukhaad loge? Tumhari genetics hi weak hai 🏋️‍♂️,Hatespeech
"SC/ST walo ko gaon ke andar aane dena crime hai, ye log har jagah gandagi failate hai �",Hatespeech
"Chamar log sirf jhut bolte hai, inki community mein sach bolne wala koi hai hi nahi 🎤",Hatespeech
"Bhangi ki aulaad ko dekh, iPhone leke ghoom raha hai...dalaal hai pakka 📱",Hatespeech
"Oye dhobi ke bacche, tumhare purkhe kabhi hamare kapre dhote the, aaj tumhare sapne dekh lo! 👔",Hatespeech
"SC/ST log sirf sympathy maangte hai, mehnat karna inke bas ki baat nahi 😭",Hatespeech
"Ye chamar log kabhi bhi successful nahi ho sakte, kyuki inke andar ka ganda khoon hi aisa hai 🩸",Hatespeech
"Saale bhangi, tumhari beti humse shaadi karna chahti hai? Aukat yaad dilaun kya? 💍",Hatespeech
"SC/ST ko jobs dena bekaar hai, ye log kaam karna nahi jaante, bas paisa khate hai 💰",Hatespeech
"Chamar log bas apni gandi soch failate hai, inko society se nikal dena chahiye 🚪",Hatespeech
"Oye dalit, tera baap kabhi hamare ghar ka kachra uthata tha, aaj tu social media pe moral policing karta hai? 📱",Hatespeech
Bhangi community ke bachche school jaake bhi kya ukhaad lenge? Jaake toilet saaf karo 🚽,Hatespeech
"SC/ST log sirf dusro ka haq chheen te hai, inke liye reservation band karo 🛑",Hatespeech
"Ye chamar log hamesha darr ke jeete hai, inme himmat hi nahi hai ladne ki 😨",Hatespeech
"Saale bhangi, tumhari beti humare saath ghoom rahi hai? Aukat yaad dilaun? 👊",Hatespeech
SC/ST walo ko gaon ki sabhyata barbaad karne ka mauka nahi dena chahiye 🏘️,Hatespeech
"Chamar log sirf jhoot bolte hai, sach bolne ki himmat nahi hai inme 🗣️",Hatespeech
"Oye dhobi ke bacche, tumhari community ne kabhi hamare kapre dhoye the, aaj tum kya ukhaad loge? 👖",Hatespeech
"Ye dalit log sirf apni victim card khelte hai, kabhi mehnat karke dikhao 📉",Hatespeech
"Bhangi logon ko society mein equal rights nahi milne chahiye, ye log sabko neecha dikhate hai ⚖️",Hatespeech
"SC/ST reservation ne desh ka bhagya kharab kar diya, ye log kabhi bhi deserving nahi hote 📉",Hatespeech
Chamar hoke bhi itna attitude? Thakuro ke saamne aukat dikha denge 😠,Hatespeech
"Saale bhangi, tumhari community ka kaam hai gutter saaf karna, aaj kal social media pe kya ukhaad rahe ho? 🖥️",Hatespeech
"SC/ST log sirf free ki cheezein chahte hai, inko mehnat karna nahi aata 🆓",Hatespeech
"Ye chamar log hamesha apne aap ko oppressed batate hai, par reality mein ye hi sabse bade chutiye hai 🤡",Hatespeech
"Oye dalit, teri maa ne kabhi hamare ghar ka bartan maanjha tha, aaj tu humein equality sikha raha hai? 🍽️",Hatespeech
"Bhangi ki aulaad ko dekh, English bolne ki koshish kar raha hai...lol 😂",Hatespeech
"SC/ST walo ko gaon ke bahar rehna chahiye, ye log har jagah gandagi failate hai �",Hatespeech
