Comment
"In chamar logon ko koi izzat nahi deni chahiye, bas gaali do aur bhagao. 😠"
"Yeh bhangi log sirf safai karne ke liye bane hain, aur koi kaam nahi aata inko. 🤮"
"Upper caste walon ne dalit ko hamesha neecha dikhaya hai, aur aaj bhi wohi chal raha hai. 😤"
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhanda nahi karna 😠"
"Arre yaar, ye bhangi log na, kabhi sudhrenge hi nahi. Sab gandagi failate hain 🤮"
"Upper caste wale toh bas dikhawa karte hain, andar se toh dusadh jaise hi hain. Double standards everywhere! 😒"
"In chamar logon ko toh bas reservation chahiye, kuch kaam dhandha nahi aata. 😡"
"Arre yaar, woh bhangi log toh hamesha gandagi failate hain. Cleanliness ki koi sense hi nahi hai. 😤"
"Tum dhobi ho toh apni aukat mein raho! Upper caste se baat karne ki himmat kaise hui? 😠"
"In chamar logo ko toh bas reservation chahiye, kuch kaam dhandha nahi karna. 😡"
"Kya bhangi log, bas gandagi failate hain. 🤮 Ab to inko bhaga dena chahiye."
"Yeh dom log toh hamesha gandi harkatein karte hain. Koi izzat nahi hai inki. 😠"
"Abe chamar log, tum logon ko reservation milta hai, phir bhi roti ke liye taraste ho? 😠"
"Yeh bhangi kitna ganda kaam karta hai, always doing safai ka kaam. 🤮"
"In dalit logon ko toh bas government job chahiye, koi kaam dhanda nahi karna! 😡"
"Kya chamar log aaj bhi gaav mein ganda kaam karte hain? 🤮🤮🤮"
"In brahmin ko toh bas aish karna aata hai, koi kaam dhanda toh hai nahi! 😠"
"Yeh dalit log, reservation ke naam pe desh ko barbaad kar rahe hain. 😡😡😡"
"BC, ye chamar log hamesha reservation ki baat karte hain. Koi kaam-dhanda toh hai nahi inke paas. 😠"
"In bhangi logon ko toh bas gandagi karna aata hai. Saaf-suthra rehna toh inke bas ki baat hi nahi hai. 🤮"
"Dekho, dalit aurton ko toh sirf apne pati ka danda hi pasand"
"Abe chamar log, tumhari aukaat kya hai? Always trying to act like they are equal 😠"
"In bhangi logo ko reservation de de ke sar pe chadha liya hai. Seriously, they're so lazy! 🙄"
"Yaar, ye baniya hamesha business mein cheat karte hain. Such a baniya thing to do! 😡"
"Abe, ye chamar log toh bas reservation ka faida uthate hain. Koi kaam toh karte nahi! 😠"
"In bhangi logon ki toh aukaat hi nahi hai hum thakur logon ke saamne baat karne ki. Ekdum ghatiya! 😡"
"Dekho, ye dalit aur brahmin dono hi toh ek jaise hain - sirf apni caste ka"
"Abe chamar log, tum logo ko koi izzat nahi dega! Tumhari aukat kya hai? 😡"
"In bhangi logo ko toh bas reservation chahiye, kuch kaam dhanda nahi karna! 😠 Yaar, kitna ghatiya hai!"
"Upper caste wale toh bas dalit logo ko neecha dikhate hai, jaise koi aur kaam nahi hai! 😠"
