Comment,Annotation
uchi jati ka kachra hindu dram.. pr Hindu dram to uchha hai.. pr isme kachra hai,Hatespeech
"Maximum discrimination poor sc st ke saath hota hai.Unko toh iss act ke bare mein pta hi nhi hai.
Iss act ka jyadatar misuse hota hai.
Tumhare saath hota toh tumhe pta lagta.",Not Hatespeech
Abe  yaar suicide ki baat kar raha hai article 21 ke tehat phir saja ho jayegi,Not Hatespeech
Land k neeche rakhun me chamaron ko,Hatespeech
अरे मदर जात बीबीसी सुधर जा किसी दिन हमारे हत्या चढ़ गया ना तो तेरी ऐसी की तैसी कर देंगे जय नमो बुद्धाय,Hatespeech
Dr Ambedkar is social reformer maharana pratap is not social reformer he was power hungry ruler understand,Not Hatespeech
इन जाटव लोगों का सनातन धर्म से बहिष्कार किया जाये और हिंदू होने की वजह से जो इन्हे आरक्षण मिलता है उसे तत्काल बंद किया जाये,Hatespeech
​Tu Siriya se bhaga tha​😂,Not Hatespeech
Can this RRR man can be priest for a day in any mandir?,Hatespeech
"ATUL KIRTI ANAND bhai atyachar ??? india me hum apus me ladhte rhe tabhi muslim ne faida utha liya aur hame mara wo bhi crore ki tadad me shivaji aur maharana ke karan hum abhi jinda he.. warna abhi tumhare hath me quran hoti tum ek bad yad rakho tumne buddh dharm apnaya he matlab tum kamjor ho isiliye tum logo ne hamara dharm choda tumne apni identity chodi jo ki hindu thi aur smartness dikha rahe ho ki yeah hum buddh ban gye pitna wala admi pitta hi rahega chahe tum log budh ban jao ya hindu to paristiti se ladhna sikho na ki apna identity badalwao brahmins are brain of hindu,ksatriya are power of hindu ,vaishya are courage for hindu and dalits are motivation for hindus overall we r hindu",Hatespeech
"Hierarchy is an aspiration of an individual. It's our psyche that inspires ,we want to keep someone down in order to feel superior. We easily understand the order or classification or categories.everybody wants good thing for themselves and bad things to others. Ex: white supremacy, Aryan race in Germany, hutu and Tutsi in Africa, Patriarchal system. Equality is always a struggler.",Not Hatespeech
"Cast system should not be there in India.
Equality should be there.
Plz don't judge my cast.
BBC you should stop destabilizing my country.",Not Hatespeech
Better to follow Sikhism for equality of life,Not Hatespeech
"Come to my state and repeat it, sc st people will show what is the real meaning of wrath.",Hatespeech
I just hate brahmans who endorsed castesim...and root cause of today's Hindu condition...but thanks to modi government who thinks about us,Hatespeech
Muslim dalit ko ek krne wale ye bhool jate hai Pakistan main dalit aaj bhik maang rhe hai wo bhi allah ke naam pr,Hatespeech
ना जाने कितने स्वर्ण ऐसे जिनके पास योग्यता तो होती है पर नौकरी नहीं मिलती सिर्फ अपनी जाति की वजह से इसपर बीबीसी क्या कहेगी,Not Hatespeech
Phir pakistan mai bomb se musalman kaise maarta hai ?? Waha bhi toh islam hai so called barabari waala,Hatespeech
i'm sorry to say but you're not alone in this field..,Not Hatespeech
Tum log gande ho.or Suar khate ho.,Hatespeech
Reservation basic jarurato me honi chaie..basic shiksha free coaching kuki vaha koi competition nai hota agar vaha milega to jyada fayada hoga or bhedbhav ki bhawna bhi kam develope hogi.. kuki higher education me reservation dene ka kya fayda..jab ek bachha vaha tak pahuchga to na competition dega..free coaching reservation se bethar options hai exam me sab barabar hoge kuki tyari baraba ki hogi..jo daud nai sakta with( due respect n empathy) uski line aage karne ya finishing line pahle rakhne se achha hai..usko prosthetic leg ya behtar ilaz dia jae..,Not Hatespeech
Hum to pehle se hi tute hue hai. Tute hue ko kya todna,Not Hatespeech
"Bhai in netaon ke chakkar mein padogay toh yeh saale apas mein hi ladvayeingay. Apne aap se mtalb rkho, khush rhogay",Hatespeech
Aisi situation me hame apna dharm change kr Lena chahiye,Not Hatespeech
​तुम लोग अफ्रीका से भगायें हुए लोग हो तभी तो दलित हो। आर्य ही भारत के मूलनिवासी है,Hatespeech
agr hindu ho toh Hinduism ki hi baat kro na fir.....dusro ke religion ko MTT lao.....usme agr wo guu khayenge toh tum bi khaoge ky?,Hatespeech
What is the difference between dalit and hindu...??....,Not Hatespeech
lgta h mandiro me chanda(bhik)  nhi mil rhi h,Not Hatespeech
maharun khud losers tha 😂😂,Hatespeech
Sab Insan 1 hi hote he koi cohta bada nhi hota is Desh ka savdhaan lihkne Vale kon the ye hame maloom hona cahiye,Not Hatespeech
Chmar naaam nahi brand hai,Hatespeech
What fucking liar u guys always play victim card ...,Hatespeech
दुसरे के भावनाओं का खिलवाड़ और जब अपने पर आए तो लोग गलत कर रहे है सही है कलश यात्रा नही निकला चाहिए कब  तक जाति धर्म के नाम पर लड़ते रहेंगे और दूसरे की खुशियों को रौंदते रहेंगे,Not Hatespeech
"😢 They are Vanniya Kula kshatriya community discriminated against the Dalits.
These people are also mixing humans pee in Dalits water tank.
That case is also enquired by Cbcid.",Hatespeech
so wht god temples Brahamin control..Shiva temple?,Not Hatespeech
Naak me dum kr rhkha he ish sc st act ne mhadarchodo ne mujh par bhi jhunta act lgwa diya,Hatespeech
Haa Bhai tum hindu nahi ho...,Hatespeech
pta nhilog itna bkvas kyo krte h,Not Hatespeech
​ re mughalput 😂,Hatespeech
"BBC bas yahi rah gaya , koi Nahi pucchhta",Not Hatespeech
"बहुत अच्छा किया दलित समाज  
जब दलित समाज की यात्रा नहीं निकलने दी तो आपकी यात्रा कैसे निकलेगी",Hatespeech
"Bahut hi saharniye kam dalit bhayio, Salute❤",Not Hatespeech
Dalit Hindu nhi hote kya bhai 😅😅,Not Hatespeech
AREY YE CHUTIYA RAVAN SIRF LOGO KO EK DUSRE KE KHILAF BHADKATA HAI,Hatespeech
​​​  काल्पनिक भीम केवल कल्पना में ही होता है ।,Not Hatespeech
बोद्ध धर्म हि समानता दे सकता हे,Not Hatespeech
"गलत चीजों का विरोध करो,संविधान और कानून के अनुसार चलो लेकिन आपस में बटों मत क्योंकि आपस में बटोंगे तो हम सबों का नुकसान होगा और गिद्ध बैठा है हमलोग को बर्बादी देखने के लिए।",Not Hatespeech
wo to tumhe bhi pata h kiski jali aur kiski jal Rahi h😆😆😆😆😆,Hatespeech
True Bhai ​,Not Hatespeech
Bhramanvadi broadcasting Corporation.,Not Hatespeech
"sc st वालों को देश से ही निकाल दो,, अलग देश दे दो इतनी दिक्कत हे तो",Hatespeech
Dalit hindu nhi kab samjenge dalit,Not Hatespeech
Convert hona hain ho jao jitni Jaldi. Lekin tab bhi kuch nahin ban page tum log,Hatespeech
bout the discrimination they are still facing,Not Hatespeech
This is called true news .Bbc ur great. Thank you,Not Hatespeech
