Comment,Label
"Ye dalit log saale bas reservation ke piche pade hain, kaam dhandha kuch nahi 😡",Hatespeech
"SC ST wale toh sirf free ka khana chahiye, inki aukat hi kya hai 😠",Hatespeech
"Chamar log humare gaon mein ghusne ki himmat kaise karte hain? 😤",Hatespeech
"Thakur hone ka ghamand toh dekho, saale bhangi ko insaan hi nahi samajhte 😡",Hatespeech
"Ye bhangi log kitne gande hote hain, inko alag basti mein rakho yaar 😣",Hatespeech
"In dalit ke bacche school mein bhi quota leke ghus jaate hain 😒",Hatespeech
"Arre pandit ji, apki brahmin supremacy toh hum chamar se chhupti nahi 😏",Hatespeech
"SC wale toh bas politics mein vote bank ban ke reh gaye, kuch kaam ke nahi 😤",Hatespeech
"Ye thakur saale apne aap ko raja samajhte hain, dalit ko kuchal dete hain 😡",Hatespeech
"Brahmin log toh bas mandir mein baith ke dalit ko nicha dikhate hain 🙄",Hatespeech
"Chamar ke bacche designer kapde pehen ke thakur banne ki koshish karte hain 😂",Hatespeech
"Ye SC ST walo ko itna reservation deke bhi inki aukat nahi badlegi 😒",Hatespeech
"Dalit log toh bas free ke paise ke liye Hindu bante hain, saale 😡",Hatespeech
"Thakur ka itna attitude, bhangi ke ghar paani bhi nahi peete 😤",Hatespeech
"Ye chamar log humare surname copy karke apni aukat chhupate hain 😏",Hatespeech
"SC ST ke liye itne laws, phir bhi ye log road pe hi rehna chahte hain 😣",Hatespeech
"Brahmin toh bas apne caste ka dikhawa karte hain, dalit ko toh insaan nahi samajhte 😡",Hatespeech
"Arre ye dalit log kitne besharam, thakur ke samne muh kholte hain 😤",Hatespeech
"Chamar log toh bas gaali kha ke jeete hain, inki koi izzat nahi 😒",Hatespeech
"Thakur saale apne aap ko sher samajhte hain, dalit ko kutta bolte hain 😡",Hatespeech
"Ye SC wale toh bas reservation ke dam pe naukri churate hain 😠",Hatespeech
"Dalit log kitne gande, inko toh alag mohalla chahiye 😣",Hatespeech
"Brahmin ka ego toh dekho, chamar ke bacche ko school mein nahi padhne dete 😤",Hatespeech
"Ye thakur log apne ghar mein dalit ko ghusaate bhi nahi, itna ghamand 😡",Hatespeech
"SC ST ke naam pe bas vote mangte hain, inki aukat kya hai 😒",Hatespeech
"Chamar log toh bas apni caste chhupane ke liye surname badalte hain 😏",Hatespeech
"Dalit ke bacche itne badtameez, thakur ke samne bolne ki himmat 😤",Hatespeech
"Ye brahmin log toh bas dalit ko nicha dikhane ke liye jeete hain 😡",Hatespeech
"SC wale toh bas free ka khana kha ke mote hote ja rahe hain 😣",Hatespeech
"Thakur ka itna ghamand, dalit ke ghar ke paas se bhi nahi guzarte 😤",Hatespeech
"Chamar log kitne nalayak, inko toh koi kaam nahi dena chahiye 😒",Hatespeech
"Dalit log toh bas reservation ke dam pe IAS ban jaate hain 😡",Hatespeech
"Brahmin log apne aap ko devta samajhte hain, dalit ko kutta bolte hain 😤",Hatespeech
"Ye SC ST wale toh bas free ke paise ke liye rotiya sekte hain 😣",Hatespeech
"Thakur saale apni jaat ke liye dalit ko maar bhi dete hain 😡",Hatespeech
"Chamar log toh bas gandagi failane ke liye paida hue hain 😒",Hatespeech
"Dalit ke bacche school mein bhi thakur ke saath baithne ki aukat nahi 😤",Hatespeech
"Brahmin log toh bas apne mandir mein dalit ko ghusaate nahi 😡",Hatespeech
"Ye SC wale toh bas politics mein caste card khelte hain 😒",Hatespeech
"Thakur ka itna attitude, dalit ko toh insaan hi nahi samajhte 😤",Hatespeech
"Chamar log apne aap ko thakur ke barabar samajhte hain, hadd hai 😡",Hatespeech
"Dalit log toh bas free ka ration kha ke jeete hain 😣",Hatespeech
"Brahmin ka ego itna bada, dalit ke bacche ko school se nikal dete hain 😤",Hatespeech
"Ye SC ST wale toh bas reservation ke dam pe naukri lete hain 😒",Hatespeech
"Thakur log apne ghar mein dalit ko naukar bhi nahi rakhte 😡",Hatespeech
"Chamar ke bacche kitne besharam, thakur ke surname use karte hain 😏",Hatespeech
"Dalit log toh bas vote bank ban ke reh gaye, kuch kaam ke nahi 😤",Hatespeech
"Brahmin log toh bas apne caste ka ghamand dikhate hain 😡",Hatespeech
"Ye SC wale toh bas free ke paise ke liye Hindu bante hain 😒",Hatespeech
"Thakur saale dalit ke ghar ke paas bhi nahi jate, itna ghamand 😤",Hatespeech
