Comment,Annotation
अरे मदर जात बीबीसी सुधर जा किसी दिन हमारे हत्या चढ़ गया ना तो तेरी ऐसी की तैसी कर देंगे जय नमो बुद्धाय,Hatespeech
Dalit hindu nhi kab samjenge dalit,Hatespeech
Convert hona hain ho jao jitni Jaldi. Lekin tab bhi kuch nahin ban page tum log,Hatespeech
he said his teacher insulted him by calling him chamar not that he's chamar.,Hatespeech
Sc samaj ko slut,Hatespeech
"Bhai Maine toh apne baccho ko samjha Diya hai aur uske school ke teachers se bhi baat karli hai .
Apne baccho ko unse baat karne se bhi mana Kiya hai , hum sabko Aisa hi karna chahiye .
Apne baccho ke jivan ke liye humko Aisa hi karna chahiye",Not Hatespeech
wow so the brahmins intentionally contaminated the water dalits drink???  Noone is talking about that?,Not Hatespeech
"Islaam ki maka bochla



Bharat mata ki jai☺️",Not Hatespeech
yess...we also stopped relationship with neighbours...,Not Hatespeech
"भाई तुम्हारे समाज के पास क्या था 1 बीघा जमीन तक नहीं थी
जब संवैधानिक हक मिला तब जाकर आपका समाज कुछ हद तक तरक्की हो पाई।",Not Hatespeech
Jaa oye gaandu,Not Hatespeech
"Many sunnis blasting bombs in shia masjids(recent example of afganistan)
Or ahmedies ko jine ka hi hadikar nhi",Not Hatespeech
Tum log jaynti nahi manane dete to ham bhi nahi manane dege kuchh atha nahi sab dog hai jay bhim,Not Hatespeech
"Thakuro ko hi galat dikhao tum, Saalo Jiski Maut hui hai Wo Ek Thakur hi hai.",Not Hatespeech
दलित हजारों सालों से पिट रहे हैं मगर फिर भी हिंदू बने हैं क्योंकि इनको अंध भक्त बना दिया गया है यह एक राजनितिक षड्यंत्र है डॉक्टर साहब भीमराव अम्बेडकर ने हिंदू धर्म इसीलिए छोड़ दिया था और बौद्ध बन गए थे,Not Hatespeech
