Comment,Annotation
90% joote case hai .....sab peso ke liye lagate hai,Not Hatespeech
Suicide kar diya isne?,Not Hatespeech
To kar lo na sucide,Not Hatespeech
Tu bhai abhi billi bana h act ki wajah se kya pata pareshan karte time to maja aaya hoga koi SC St ese hi ni fasayega,Hatespeech
मरने से कुछ नहीं होता भाई जेल जाने से पहले उनको मार के जाना जिन्होंने आप पर झूठा केस लगाया है,Hatespeech
Yaar kya power full Act hai be ab dekhenge general wale ko ab 😂 bahut uchalata rehta hai,Hatespeech
Or jab general walo ne aapko dekhna start kr diya to😡😡,Not Hatespeech
kya dikhaye ga SC/ST act hai tumpe bhi lag sakta hai jyada uchalo mat,Not Hatespeech
Be vajah kese lag va dega,Not Hatespeech
Kuch harkat kri hogi,Not Hatespeech
jaatiwad ko badawa dena he aur kuch nahi,Not Hatespeech
Sc St act hatao 100 se 95 fake case krte hai ... Sc St wale sab se ladai krte hai phir jab innko maro to sc st act lagaa dette hai ..😒😒😒😒😡,Hatespeech
Sarkar ko chahiye ki iss act ko khatam krna chahiye iska durupyog bhut ho rha h,Not Hatespeech
Sir phale a log sc st ke haq kha gaye ab ro rahe hai inko bolo haq dao unke jo hadappa kar baith gaye a hai ghatya log phal in logo ne kari c,Hatespeech
Ro lo tum log hajaaro varshoo se jo atyachar krte rahe ho or ab randi rona kr rahe ho,Hatespeech
Meri sc st koi feelings nehi thi mein pehle unke upar sympathy rakhti thi jab mere pati ho false case mein ek aurat fasaya kuch paiso k liye isi liye tabse mujhe inse dosti aur sympathy sab khatam ho gaya,Not Hatespeech
Ohh.. madam sympathy....... Compassion... Kyu nahi dikhate...,Not Hatespeech
Kutti teri chahiye b nahi sympathy,Hatespeech
Mai bhi false case me fas chuka hu mam ...... ye kala kaanon hai,Not Hatespeech
Kisne kaha hai unse dosti kr apne jaat me jakar Mr na😂😂😂😂,Hatespeech
general caste walo k Mann mein koi caste feelings nehi rakhte kuch log gaon k honge par hum jaise log koi caste feelings nehi rakhte par sc st wale general caste walo k upar galat feelings rakhte hai,Not Hatespeech
ji nehi sab nehi hote kuch log jo samvidhan se jo special powder unhein Mila hai uska galat faida galat irada se utha rahe hai aur yeh bohot galat hai iss mein innocent people suffered ho rahe hai,Not Hatespeech
